harvest,location,point,count,season,spp,origin,cut,year,numb_yrs_grow,wall,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
recknagel,interior,166,1,2020,rm,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,interior,166,1,2020,svb,veg,2019,2020,1,protected,0,0,0,0,6077.015089235906,0,0,0,0,6077.015089235906,6077.015089235906,0
recknagel,interior,166,1,2020,bta,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,166,1,2020,pc,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,166,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,interior,166,1,2020,ro,veg,2019,2020,1,protected,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,interior,167,1,2020,sm,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,interior,168,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,9115.52263385386,0,0,0,0,9115.52263385386,9115.52263385386,0
recknagel,interior,169,1,2020,svb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,169,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,170,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,171,1,2020,rm,veg,2019,2020,1,protected,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,0
recknagel,interior,171,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,interior,171,1,2020,eh,veg,2019,2020,1,protected,0,0,0,0,8102.686785647875,0,0,0,0,8102.686785647875,8102.686785647875,0
recknagel,interior,172,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,interior,172,1,2020,ah,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
decker,interior,210,1,2020,rm,veg,2019,2020,1,protected,0,0,0,0,0,770.317931218885,0,0,0,770.317931218885,770.317931218885,0
decker,interior,210,1,2020,pc,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,interior,211,1,2020,ab,singl/unk,2019,2020,1,protected,0,0,0,0,6077.015089235906,1155.4768968283274,0,385.1589656094425,0,7617.650951673675,7617.650951673675,1540.63586243777
decker,interior,211,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
decker,interior,212,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,0,385.1589656094425,0,0,2410.830662021411,2410.830662021411,0
