harvest,wall,location,point,count,season,cut,year,numb_yrs_grow,origin,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
recknagel,protected,interior,165,1,2021,2019,2021,2,singl/unk,761,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
recknagel,protected,interior,166,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,interior,166,1,2021,2019,2021,2,veg,316,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,protected,interior,166,1,2021,2019,2021,2,veg,833,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,1540.63586243777
recknagel,protected,interior,166,1,2021,2019,2021,2,singl/unk,833,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,166,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,166,1,2021,2019,2021,2,veg,743,0,0,0,0,1012.8358482059843,1155.4768968283274,0,0,0,2168.312745034312,2168.312745034312,0
recknagel,protected,interior,166,1,2021,2019,2021,2,singl/unk,761,0,0,0,0,1012.8358482059843,385.1589656094425,0,0,0,1397.9948138154268,1397.9948138154268,0
recknagel,protected,interior,166,1,2021,2019,2021,2,singl/unk,355,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
recknagel,protected,interior,167,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,167,1,2021,2019,2021,2,veg,318,0,0,0,0,8102.686785647875,0,0,0,0,8102.686785647875,8102.686785647875,1540.63586243777
recknagel,protected,interior,168,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,10128.358482059844,0,0,0,0,10128.358482059844,10128.358482059844,0
recknagel,protected,interior,168,1,2021,2019,2021,2,singl/unk,541,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,168,1,2021,2019,2021,2,veg,318,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,1540.63586243777
recknagel,protected,interior,169,1,2021,2019,2021,2,singl/unk,70,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,385.1589656094425
recknagel,protected,interior,169,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,770.317931218885
recknagel,protected,interior,169,1,2021,2019,2021,2,singl/unk,355,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,protected,interior,169,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,385.1589656094425
recknagel,protected,interior,170,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
recknagel,protected,interior,170,1,2021,2019,2021,2,singl/unk,372,0,0,0,0,18231.04526770772,0,0,0,0,18231.04526770772,18231.04526770772,1540.63586243777
recknagel,protected,interior,170,1,2021,2019,2021,2,veg,531,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,0
recknagel,protected,interior,171,1,2021,2019,2021,2,veg,701,0,0,0,0,2025.6716964119687,1540.63586243777,0,0,0,3566.3075588497386,3566.3075588497386,0
recknagel,protected,interior,171,1,2021,2019,2021,2,veg,531,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
recknagel,protected,interior,171,1,2021,2019,2021,2,singl/unk,951,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
recknagel,protected,interior,171,1,2021,2019,2021,2,veg,315,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,0
recknagel,protected,interior,171,1,2021,2019,2021,2,veg,316,0,0,0,0,0,0,1155.4768968283274,385.1589656094425,0,1540.63586243777,1540.63586243777,1540.63586243777
recknagel,protected,interior,172,1,2021,2019,2021,2,singl/unk,316,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
recknagel,protected,interior,172,1,2021,2019,2021,2,veg,391,0,0,0,0,9115.52263385386,0,0,0,0,9115.52263385386,9115.52263385386,1155.4768968283274
decker,protected,interior,210,1,2021,2019,2021,2,singl/unk,761,0,0,0,0,1012.8358482059843,385.1589656094425,0,0,0,1397.9948138154268,1397.9948138154268,0
decker,protected,interior,210,1,2021,2019,2021,2,veg,391,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
decker,protected,interior,210,1,2021,2019,2021,2,veg,316,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,1540.63586243777
decker,protected,interior,211,1,2021,2019,2021,2,veg,531,0,0,0,0,8102.686785647875,1540.63586243777,0,385.1589656094425,0,10028.481613695087,10028.481613695087,1540.63586243777
decker,protected,interior,211,1,2021,2019,2021,2,singl/unk,701,0,0,0,0,0,0,0,385.1589656094425,0,385.1589656094425,385.1589656094425,0
decker,protected,interior,212,1,2021,2019,2021,2,veg,531,0,0,0,0,2025.6716964119687,385.1589656094425,0,0,0,2410.830662021411,2410.830662021411,1155.4768968283274
decker,protected,interior,213,1,2021,2019,2021,2,veg,531,0,0,0,0,0,0,385.1589656094425,385.1589656094425,0,770.317931218885,770.317931218885,770.317931218885
decker,protected,interior,213,1,2021,2019,2021,2,veg,743,0,0,0,0,1012.8358482059843,770.317931218885,0,0,0,1783.1537794248693,1783.1537794248693,385.1589656094425
decker,protected,interior,213,1,2021,2019,2021,2,singl/unk,701,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
decker,protected,interior,214,1,2021,2019,2021,2,veg,743,0,0,0,0,4051.3433928239374,4621.90758731331,0,0,0,8673.250980137247,8673.250980137247,1155.4768968283274
decker,protected,interior,214,1,2021,2019,2021,2,veg,541,0,0,0,0,1012.8358482059843,770.317931218885,0,0,0,1783.1537794248693,1783.1537794248693,385.1589656094425
decker,protected,interior,215,1,2021,2019,2021,2,veg,951,0,0,0,0,0,385.1589656094425,385.1589656094425,0,0,770.317931218885,770.317931218885,770.317931218885
decker,protected,interior,215,1,2021,2019,2021,2,veg,743,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,protected,interior,216,1,2021,2019,2021,2,singl/unk,1,0,0,0,0,0,0,0,0,0,0,0,0
decker,protected,interior,217,1,2021,2019,2021,2,singl/unk,1,0,0,0,0,0,0,0,0,0,0,0,0
decker,protected,interior,218,1,2021,2019,2021,2,singl/unk,1,0,0,0,0,0,0,0,0,0,0,0,0
decker,protected,interior,219,1,2021,2019,2021,2,veg,531,0,0,0,0,1012.8358482059843,0,0,385.1589656094425,0,1397.9948138154268,1397.9948138154268,770.317931218885
decker,protected,interior,220,1,2021,2019,2021,2,veg,531,0,0,0,0,2025.6716964119687,1925.7948280472124,0,0,0,3951.466524459181,3951.466524459181,770.317931218885
